Plant_ID,percent_colonization
RS191,NA
RS215,NA
RS225,NA
RS442,NA
RS100,NA
RS447,NA
RS210,NA
RS265,NA
RS425,NA
RS537,35.6687898089172
RS305,NA
RS030,5.084745762711865
RS495,3.614457831325301
RS594,0
RS182,0
RS289,0
RS299,0
RS497,43.162393162393165
RS435,0
RS303,0
RS580,30.666666666666664
RS589,2.7027027027027026
RS391,0
RS541,6.1946902654867255
RS309,0
RS411,0
RS164,NA
RS103,NA
RS405,NA
RS233,NA
RS543,NA
RS306,NA
RS203,NA
RS342,NA
RS413,22.591362126245848
RS070,NA
RS326,NA
RS180,NA
RS522,44.35643564356436
RS231,19.871794871794872
RS374,0
RS283,38.108108108108105
RS167,43.859649122807014
RS487,38.35227272727273
RS375,35.13513513513514
RS500,0
RS281,17.712177121771216
RS264,0
RS079,0
RS263,0
RS388,0
RS531,23.636363636363637
RS499,0
RS588,36.46723646723647
RS201,22.767857142857142
RS546,10.666666666666668
RS573,18.38235294117647
RS099,0
RS143,0
RS319,0
RS217,0
RS410,0
RS431,0
RS569,0
RS102,43.776824034334766
RS084,39.86486486486486
RS508,44.696969696969695
RS572,44.230769230769226
RS346,0.6896551724137931
RS571,0
RS547,39.0625
RS476,3.79746835443038
RS524,16.551724137931036
RS494,0
RS553,40.68441064638783
RS178,46.35761589403973
RS512,0.9090909090909091
RS069,35.869565217391305
RS564,0
RS292,39.23611111111111
RS582,38.726790450928384
RS052,4.651162790697675
RS285,0
RS534,30.76923076923077
RS206,37.640449438202246
RS599,44.171779141104295
RS493,55.59322033898305
RS045,0
RS204,0
RS311,0
RS454,0
RS414,0
RS503,63.436123348017624
RS003,51.33333333333333
RS343,0
RS272,77.20930232558139
RS382,61.92893401015228
RS166,0
RS590,70.32967032967034
RS489,73.60406091370558
RS017,69.64285714285714
RS585,80
RS220,0
RS146,42.567567567567565
RS416,29.069767441860467
RS467,42.857142857142854
RS521,0
RS029,84.5771144278607
RS324,NA
RS576,65.53191489361701
RS10,NA
RS261,75.31645569620254
RS568,NA
RS011,58.57740585774059
RS370,NA
RS250,NA
RS358,NA
RS297,NA
RS552,19.148936170212767
RS207,NA
RS554,NA
RS367,86.48648648648648
RS536,78.125
RS057,NA
RS229,NA
RS295,NA
RS535,1.2903225806451613
RS357,NA
RS373,0.5730659025787965
RS393,NA
RS248,74.82517482517483
RS361,NA
RS530,22.0532319391635
RS366,NA
RS389,NA
RS419,NA
RS073,NA
RS147,NA
RS056,NA
RS456,NA
RS194,NA
RS226,NA
RS314,NA
RS563,NA
RS159,73.91304347826086
RS160,NA
RS123,63.40694006309149
RS542,74.10071942446042
RS240,4.9079754601226995
RS468,38.8663967611336
RS470,0
RS392,NA
RS200,NA
RS318,NA
RS066,NA
RS404,NA
RS486,NA
RS368,NA
RS293,NA
RS446,NA
RS244,NA
RS287,NA
RS213,NA
RS461,NA
RS566,51.94805194805194
RS243,NA
RS168,57.14285714285714
RS018,NA
RS075,51.470588235294116
RS151,NA
RS313,NA
RS047,NA
RS186,NA
RS284,NA
RS230,NA
RS195,52.83018867924528
RS436,NA
RS592,NA
RS247,NA
RS372,45.714285714285715
RS155,NA
RS600,57.446808510638306
RS255,61.951219512195124
RS238,NA
RS520,35.622317596566525
RS457,NA
RS205,59.13978494623656
RS578,55.86206896551724
RS567,NA
RS227,NA
RS354,NA
RS574,45.26315789473684
RS007,NA
RS165,58.292682926829265
RS074,NA
RS328,NA
RS575,45.22292993630573
RS016,NA
RS133,NA
RS141,NA
RS121,NA
RS184,NA
RS161,71.95767195767195
RS298,0
RS397,0
RS189,0
RS385,0
RS150,0
RS275,0
RS406,0
RS381,0
RS562,76.96335078534031
RS280,0
RS348,0
RS523,57.936507936507944
RS517,54.421768707483
RS488,0
RS124,76.69172932330827
RS505,71.42857142857143
RS351,77.12418300653596
RS551,67.91666666666667
RS514,NA
RS221,65.42553191489363
RS528,16.129032258064516
RS322,NA
RS300,NA
RS325,NA
RS308,NA
RS026,NA
RS234,NA
RS549,NA
RS450,NA
RS273,NA
RS458,NA
RS095,79.3859649122807
RS518,NA
RS145,NA
RS558,NA
RS190,NA
RS434,74.69879518072288
RS076,NA
RS526,NA
RS083,12.704918032786885
RS111,NA
RS482,60.416666666666664
RS093,NA
RS241,NA
RS112,NA
RS197,NA
RS426,NA
RS440,NA
RS054,NA
RS402,NA
RS481,12.530120481927712
RS228,NA
RS271,63.57388316151202
RS301,NA
RS502,66.66666666666666
RS181,63.888888888888886
RS130,NA
RS239,NA
RS129,NA
RS140,72.55639097744361
RS510,15.819209039548024
RS044,NA
RS222,NA
RS019,NA
RS583,NA
RS065,NA
RS538,NA
RS013,NA
RS516,11.1731843575419
RS270,NA
RS407,NA
RS561,NA
RS177,NA
RS540,47.008547008547005
RS028,NA
RS390,NA
RS022,NA
RS097,56.95652173913044
RS005,0
RS525,76.77165354330708
RS478,0
RS214,66.54411764705883
RS316,48.148148148148145
RS449,0
RS544,0
RS587,64.65116279069767
RS484,46.53465346534654
RS173,69.8224852071006
RS245,NA
RS345,NA
RS031,NA
RS483,0
RS327,NA
RS027,NA
RS409,NA
RS448,NA
RS252,NA
RS469,0
RS212,NA
RS475,0
RS423,NA
RS224,NA
RS320,NA
RS307,NA
RS131,NA
